id,tier,categoria,slug,parte,complementar,grupo,arquivo_pronto,arquivo_original,resumo_curadoria,texto_ocr,tags,metricas_detectadas,telefones_borrados,frente_produto_sugerida,uso_sugerido,notas
DEP-001,hero,destravamento,destravei-o-que-havia-travado,,comp-a,comp02,depoimentos-2026-ready/hero/hero_destravamento_destravei-o-que-havia-travado_comp-a.png,IMG_7925.PNG,"Continuação: após 6–7 meses no canal, “destravei o que havia travado”, elogiando o mentor prático.","Comunidade Pódium: Con..
103
COMUNIDADE
40 online
PÓDIUM
Mundo Pódium
que é cada coisa
0
estava postergando demais em
prospecções; queria um tipo de
conteúdo de alguém que entra em
campo pra depois ensinar; 80%
dos que tem por aí na internet; só
ensina a teoria que nem eles
acreditam, nunca entram no jogo; é
típica frase ""técnico não joga"" só
a
que em vendas não funciona assim
Aí pesquisando e procurando pela
internet; achei 0 canal da
combustível
Faz uns 6 ou 7 meses, de lá pra cá
eu destravei 0 que havia travado a
tempos, tanto conteúdo foda que
trás, ele é 0 tipo de
esse cara
mentor que não te fala 0 que você
quer ouvir; mas sim 0 que você
precisa; assim que tu cresce
Esse cara transforma vidas através
do seu conhecimento; esse cara
tudo; muito fera.
merece","destravar, transformação, mentoria, alinhado-ao-produto, hero-candidate",destravamento; mentoria,0,,,
DEP-002,hero,destravamento,diogo-vicent-diz-que-o-youtube-comunidad,,,,depoimentos-2026-ready/hero/hero_destravamento_diogo-vicent-diz-que-o-youtube-comunidad.png,IMG_2867.PNG,Diogo Vicent diz que o YouTube/comunidade foi “virada de chave” e hoje tem “confiança absurda”.,"Diogo Vicent
Você
Recado de vídeo (0:59)
Obrigado a todos da comunidade,
pelas conversas e feedback !
Rômulo Freitas, obrigado pela
iniciativa em criar a comunidade;
e
principalmente 0 canal com
YouTube!
Depois que achei 0 seu canal no
YouTube, foi uma virada de chave.
Cada Live é um detalhe,
e um
ponto; é uma nova visão.
Hoje tenho uma confiança absurda,
de como conduzir é
principalmente uma confiança em
acredita que consigo.
Devido; à cada um de vocês!
18.08
patsimóvel
2","transformação, confiança, YouTube, lives, comunidade",,0,,,
DEP-003,hero,destravamento,douglas-estrutura-r1-r2-destravou,,,,depoimentos-2026-ready/hero/hero_destravamento_douglas-estrutura-r1-r2-destravou.png,9E04BF3C-D337-428E-A510-2A7806A1C70F.PNG,Douglas (“nerd de laboratório”) diz que a estrutura de cold call/R1/R2 o **destravou** e “vale mto a pena”.,"Comunidade Pódium: C..
167
COMUNIDADE
PODIUM
21 online
Douglas P
Pedro Fer
Uma pena que não posso mais entrar na
turma dele lá de 90 reais mensal
Cara... eu já virei Testemunha de
Jeová, de São Rômulo de Beagá..
kkkk
Eu nunca fui ativamente do
comercial, e sempre fui 0 nerd rato
de laboratório de bastidores.
Eé 0 total oposto da caricatura do
que é ser um vendedor rapporzeiro
carismático..
e
Eu tentei muitas estruturas de
prospecção e de reunião;
desbloqueei depois de ver como 0
Rômulo conduz as dele..
Na cold
call, na R1 e na R2
Meu objetivo é criar musculatura e
fazer uma única reunião; mas não é
momento ainda..
E seguir a
estrutura de RI e R2 me
destravou.-
Vale mto a pena","destravar, cold call, R1, R2, transformação, brand-fit",cold_call; destravamento,2,,,
DEP-004,hero,destravamento,elogio-workshop,,,,depoimentos-2026-ready/hero/hero_destravamento_elogio-workshop.png,IMG_3935.PNG,Alanis chama a plataforma de “divisor de águas” e exalta o acesso ao Rômulo.,"Alanis Almeida
+BOJn 69 |G0 8 v6
PELO AMOR DE DEUS !! Toda
conversa com 0 Romulo é uma
experiência. Falo de novo; parece
tiete as vezes que colocamos
algum comentário mas é absurdo
conhecimento que esse cara nos
trás. Porra; ter alguém com tanto
conhecimento de mercado
ajudando de perto é surreal,
0
acesso que 0 Romulo nos
proporciona é de longe a melhor
oportunidade que você vai ter para
se desenvolver.
Sou muito grata por esse tempo
contigo Romulo; toda visão de
mercado que você nos dá é
realmente de muita ajuda.
Obrigada por reservar esse tempo
que você poderia estar fazendo
suas coisas para ajudar quem está
precisando.
plataforma foi um divisor de
A
águas pra mim e uso de gabarito
sempre que estou com uma
dfficuldado
Encontrar","transformação, plataforma, autoridade, gratidão, gabarito",,0,,,
DEP-005,hero,metodo,compara-disparo-whatsapp-e-mail-fracos-v,,comp-b,comp04,depoimentos-2026-ready/hero/hero_metodo_compara-disparo-whatsapp-e-mail-fracos-v_comp-b.png,IMG_4186.PNG,Resumo limpo: WhatsApp frio é horrível; jornada ideal = cold call → follow-up → social.,"Eu tentei; com 3 números de telefone; por
que decidi testar 3 modelos de abordagem
contexto; teve um que se saiu muito bem
Resumindo; prospecção fria por
whatsapp é horrível
Melhor jornada é
Cold call -> Follow UP por
mensagem -> social selling pra
relacionamento","cold call, framework, anti-WhatsApp frio, estratégia",cold_call,0,,,
DEP-006,hero,metodo,revolucionando-prospeccao-ativa,,,,depoimentos-2026-ready/hero/hero_metodo_revolucionando-prospeccao-ativa.png,IMG_6858.PNG,Mensagem curta: “Você está revolucionando o sistema de prospecção ativa.”,"Boa tarde!
Você está revolucionando
sistema de prospecção ativa.","autoridade, prospecção-ativa, elogio-forte, punchy",,0,,,
DEP-007,hero,metricas,10-reunioes-marcadas,,comp-a,comp10,depoimentos-2026-ready/hero/hero_metricas_10-reunioes-marcadas_comp-a.png,IMG_9672.PNG,Victor relata 10 reuniões marcadas de ontem pra hoje com o método do Rômulo.,"Victor
602
4 uvd
De ontem pra hoje já foram 10
reuniões marcadas usando 0
método do Romulo!","resultado numérico, agendamento, método, prova social forte",reunioes,0,,,
DEP-008,hero,metricas,5-agendamentos-em-6-ligacoes,,,,depoimentos-2026-ready/hero/hero_metricas_5-agendamentos-em-6-ligacoes.png,IMG_6129.PNG,"Após copiar ideia de 3 reels, fecha 5 agendamentos em 6 ligações (segurança eletrônica).","Joao Paulo Streda
Romulo; meu irmão pediu pra te
seguir
peguei e olhei 3 rells teu e
copiei a ideia. De 6 ligações hoje, 5
agendamentos pra visita (meu
ramo segurança eletrônica) uma só
não fechou a visita porque entrará
em férias na segunda e amanhã
não teria tempo mas é pra chamar
Kkkkkkkkk
na outra semana
surreal","resultado métrico, conversão, agendamento, reels",agendamentos; ligacoes,0,,,
DEP-009,hero,metricas,5-reunioes-1-fechamento-uma-tarde,,,,depoimentos-2026-ready/hero/hero_metricas_5-reunioes-1-fechamento-uma-tarde.png,IMG_6862.PNG,"Uma tarde de follow-up rendeu 5 reuniões e 1 fechamento, com lista de aprendizados.","au
ua
Como fomos?
Uma tarde de follow-up rendeu 5
reuniões e 1 fechamento com leads
que estavam pegando poeira na
lista de conversas.
Aprendi 0 seguinte:
Nem todo Lead quer fechar
negócio e tá tudo bem; 0 foco é
no que quer ganhar dinheiro;
0 ouro tá no Follow-up;
Follow-up se faz por ligação;
Preço foi feito pra negociar; não
pra pagar;
A dor do Lead não é pra ser
atacada, é pra ser confortada;
sim tá na mesa, então tem que
chamar a esposa pro meet
também;
0 vendedor mineiro tá mais
perto do sim do que 0 Paulista.","resultados, follow-up, fechamento, métricas, mindset",reunioes,0,,,
DEP-010,hero,metricas,alanis-marcou-reuniao,,,,depoimentos-2026-ready/hero/hero_metricas_alanis-marcou-reuniao.png,IMG_6377.PNG,"Aluna aplica técnicas dos vídeos, conduz ligação com postura e marca reunião.","Alanis Almeida
Rômulo Freitas acabei de fazer
uma ligação usando as formas que
você passa nos vídeos.
SIMPLESMENTE FODA! Com 0
perdão da palavra.
Conversei com 0 cara como se eu
não precisasse dele e buscando
entender 0 mercado dele.
Reunião marcada para amanhã.
A","resultado, ligação, metodologia, confiança",,0,,,
